city county,target,ap,grow_fi,grow_fsd,hos,popu_pgr,popu_poep,popu_mip,popu_om,cpp,housing_noh,lta,ahr,v,wsc,scr,p,ic,ahs,psap,sosang,so,jungso,jung,dae,er_sgg_man,er_sgg_woman,lfpr_sgg_man,lfpr_sgg_woman,bid,wgr,clc,spfm,pspti,cpp,pls,pol,fir,rsrs_tr,rsrs_fi,rsrs_ci,rsrs_li,rsrs_su,rsrs_in,gre,npptp,hbtp,s10
asan city,1,10967,40.9,56.9,5.2,0.86,12.24,3851,3566,31.3,123673,15095,10.2,12.5,97.5,85.6,98.4,18.1,18.9,34.5,52306,33746,111825,25773,18572,112.3,69.1,75.9,51.3,3.3,3.5,76.2,18.14,1.3,11.9,54.5,5.2,6.7,3,2,4,3,3,3,57.58,1.8,11.8,16.2
boeun-gun,0,7700,7.7,64.6,15.3,-2.15,31.76,282,301,34,15657,9938,45,16.9,53.2,76.5,91.8,10.6,50.1,27.8,6176,2159,9128,793,,10.7,8.6,76.6,59.7,2.1,3.7,62.1,6.5,0.7,5,16.8,6.1,9.9,2,2,2,3,3,3,61.25,2.1,21.2,15.2
boryeong city,1,11067,20.4,67.2,8.7,-0.69,23.76,1030,1187,31,43005,11709,28.8,12.7,86.2,75.1,95.7,12.9,69.7,14.7,20321,6753,31618,4544,3245,32.9,24.1,74.8,56.2,1.7,0.9,58.9,11.37,1.2,16.9,31.5,5.9,7.2,4,5,2,5,5,4,54.44,1.7,10.6,15.8
buyeo-gun,0,10150,14.3,57.1,0.2,-1.83,31.72,563,597,32.4,29614,12153,43.8,12.5,83.1,64.1,90.3,12.2,31,26.2,11229,3216,15895,1450,,21.6,18.9,74.6,62.3,0.2,-0.8,61.8,7.95,0.8,26.8,14.3,5.6,7.2,4,5,3,2,4,4,89.92,2,17,28.5
cheonan city,1,14883,47.6,68,18.4,0.96,9.86,9047,8580,33.6,238264,16976,9.5,10.8,96.7,96.6,98.9,8.2,17.4,25.7,107855,61260,222568,53453,27188,226.3,149.7,78.3,54,1.9,2.7,67.7,19.6,1.9,8.3,41.7,4.8,5.3,3,2,4,3,3,2,64.13,3.3,14.5,15.6
cheongju city,1,10800,37.3,62.3,14.5,0.28,12.08,12639,11831,,292599,,16,9.5,97.1,93.1,95.2,9.6,23.5,61,5918,1796,8559,845,,251.7,184.3,72,51.7,1.1,3.2,66.8,16.73,1.7,11.1,53.4,4.8,6.7,3,3,4,2,3,2,79.77,2.7,12.4,16.8
cheongyang-gun,0,7100,15.9,66.7,8.2,-1.67,32.88,219,510,34,13995,9096,41,12.1,48.8,53.2,90.2,15.1,39.2,23.3,37662,16571,65405,11172,2989,12.2,9.8,86,69.1,3.8,1.6,55.9,9.84,0.6,11.4,15.6,5.7,8.9,4,3,2,4,4,5,69.87,1.9,8.2,22.1
chungju city,1,16375,20.7,63.1,5.7,0.1,18.18,2813,2723,34.3,92114,21886,20.9,16.6,93.5,92.8,91.3,11.6,56.3,51.9,133292,66465,254883,55126,23919,66,50,70.9,54.7,1.7,4.2,57.3,17.83,1.4,8.5,39.4,7.6,9.6,,,,,,,75.15,2.5,12.6,28.9
daejeon city,1,22367,48.2,71,12.6,-0.94,12.71,20825,22133,33.7,492797,10474,17,6,99.9,97.8,100,6.1,10,74.4,237715,107812,433598,88071,68560,69.4,50.5,72.6,52.5,1.9,1.8,63.1,16.29,1.5,2.2,66.1,4.7,4.6,4,4,4,4,4,3,80.49,3.6,15.9,12.5
daejeon daedeok-gu,1,17300,20.4,36.1,16.1,-2.63,13.71,1638,2155,31.4,61426,897,24.8,6.9,99.9,99.6,100,5.1,12.4,85.2,38807,17475,70220,13938,17718,69.4,50.5,72.6,52.5,0.6,0.9,68.5,16.6,1.4,4.9,69,4.3,4.1,5,4,3,5,4,4,72.02,2.3,14.2,14.7
daejeon dong-gu,1,18000,11.5,30.1,6.5,-0.76,16.96,3644,3611,38.2,79740,2346,26.7,5.7,99.9,99.2,100,6.2,9.6,79.7,34974,10868,55034,9192,1313,69.4,50.5,72.6,52.5,0.5,2.4,59.1,21.01,0.9,4.2,61.4,4.9,5.5,5,5,3,4,5,3,87.71,2.3,13.7,15.4
daejeon jung-gu,1,16933,14.5,31.3,10.7,-1.61,17.13,2888,3227,30.7,82320,1103,32.8,5.6,99.9,99.4,100,8.2,6.6,95,41145,13653,67197,12399,8348,69.4,50.5,72.6,52.5,1.4,0.1,54,10.69,1.4,5.3,83.8,4.7,4.7,4,3,4,4,4,4,74.29,5.8,24,14.1
daejeon seo-gu,1,24233,21.2,32.1,21.2,-0.63,11.23,6845,7192,33,152276,2329,11.1,5,99.9,99.3,100,7.6,8.1,66.3,68820,32024,125741,24897,34109,69.4,50.5,72.6,52.5,2,1.4,59.6,16.14,1.8,2.9,59.3,5.4,4.8,3,3,3,3,3,2,69.4,4.5,15.5,11.4
daejeon yuseong-gu,1,35367,31.4,36.6,4.2,-0.13,8.39,5810,5948,34.6,117035,3800,2.6,7.3,99.9,92.9,100,4.7,11.7,62.4,53969,33792,115406,27645,7072,69.4,50.5,72.6,52.5,4.4,3.4,71.4,16.78,1.5,3.1,64.8,4.1,4,4,4,1,3,1,1,85.56,2.4,13.1,5.7
dangjin city,0,17633,32.3,65.2,6.4,-0.3,17.32,1784,1841,32.9,63441,19787,15.7,10.8,86.1,66.1,96.4,10.7,56.8,11.5,29482,17388,62954,16084,8149,63.6,37.6,84,58.2,2.7,2.6,72.8,15.18,1.2,9.3,28.6,6,6.9,5,4,3,5,5,3,40.08,1.6,7.3,16.2
danyang-gun,0,7850,21.8,71.9,6,-1.66,27.82,286,320,35.1,13854,11382,40.6,15.2,75.3,78.1,95.1,15.6,78,43.7,6341,1910,8826,575,,9.4,7.4,76.4,58.5,2.1,4,58.4,6.56,0.5,12.6,24.4,8.6,14.6,3,4,4,4,4,3,85.37,1.3,7.6,47
eumseong-gun,0,10967,31.1,62.8,5.6,-0.64,19.19,1074,1259,36.8,42864,11788,17.5,18.2,87.4,62.5,97.9,8.9,58.8,29.1,23100,20426,60258,16732,9205,40.1,22.5,82,55.7,3.4,4.4,77,16.82,0.9,17.9,36.1,5.6,6.9,2,3,4,2,3,2,40.83,1.7,22.3,31.6
geumsan-gun,0,10300,18.2,65.1,4.6,-1.58,28.63,420,503,35,23104,12377,38.3,14.6,80.1,78.7,90.7,14,32.8,27.1,12887,6171,21903,2845,187,17.2,14.7,70,59,2.6,0.3,67.2,19.31,0.7,7.8,33.8,7.2,8.9,2,3,3,4,3,4,81.67,2.1,12,53.6
goesan-gun,0,9200,12.9,66.6,6.6,0.29,31.32,383,886,38.1,16836,9406,35.4,11.9,70.3,49.5,89,21,67.1,16.6,6629,2979,11678,2070,764,13.7,10.5,76.2,61.9,1.9,2.1,65.2,14.97,0.4,11.1,17.7,7.5,10.6,3,5,2,5,5,4,68.18,1.8,10.2,35.7
gongju city,0,9000,18.7,66.3,7.5,-0.96,23.84,1427,1589,34.5,45271,20038,28.4,14,85.8,73.8,87.4,9,25,60.4,20058,8378,33772,5336,7202,35.2,30.5,75.1,60.5,2,3.4,60,16.01,1.2,4.3,24.8,7,9.1,5,4,3,5,4,4,83.57,2.3,25,29.1
gyeryong city,0,16067,22.1,71.2,2.9,-1.7,10.25,1197,1339,20.4,16225,1093,4.6,13.4,96.9,96.7,100,5.8,4.9,99,4333,1829,6950,788,,9.1,8.3,67.7,48.6,4.5,1.7,57.8,13.53,1.3,6.7,55.5,4.4,3,2,1,1,2,3,1,90.2,1.6,6.4,25.6
hongseong-gun,0,11000,19.3,61.2,0,-0.48,22.2,1037,1135,33.1,43617,8237,26.3,15.4,90.7,71.5,94.2,12.1,68.8,32.9,17984,6554,27971,3433,653,32.1,25.6,74,57.8,2.2,3.4,59.3,17.79,1.4,15.8,22.9,5.1,6.6,3,4,4,2,3,2,65.44,2.1,15.7,18.9
jecheon city,0,8867,18.8,66.7,3.9,-0.49,19.77,1582,1745,33.6,57548,17657,23.7,12.5,94.6,93.5,98.7,16.5,60.8,18.4,25485,8325,38258,4448,1506,41.2,31.8,70.9,53.1,1.1,1.6,53.1,16.71,1.3,8.1,39.1,9.2,13.7,4,4,2,4,4,4,79.23,2.2,17.6,30.5
jeungpyeong-gun,1,7000,17.6,64.5,13.3,0.29,15.72,364,468,33.9,15249,8244,21.2,13.6,99.9,97.1,99.4,13.7,42.1,49.1,6179,2253,9404,972,1567,11.7,8.5,77.1,55.5,3.4,2.6,62.9,11.02,1.4,26.9,54,4.9,5.5,1,4,3,1,1,3,65.37,1.3,1.8,29.4
jincheon-gun,1,7000,27.8,62.6,0,3.43,15.82,1471,906,32.4,36556,3671,13.7,14.9,90.8,78.5,88.2,9.8,42.7,20,15755,13022,40089,11312,6741,31.7,19.5,80.5,57,3.7,5.8,78.9,11.3,1.1,18.5,26.1,6.2,7.9,3,2,4,1,1,1,52.48,1.7,9.9,25.9
nonsan city,0,8600,13.2,62.7,3.6,-1.06,24.34,1526,1467,33.2,48874,11045,35.2,12.4,83.4,72.8,82,8.6,11.9,59.9,23035,9257,37662,5370,688,37.6,30.6,73.3,57.7,2.5,2.8,59.6,11.95,1,5.2,37.7,5.8,7.3,5,4,3,4,4,5,79.47,2.7,25.4,37
okcheon-gun,0,10000,17.5,69.7,0,-0.92,27.53,356,376,28.6,21576,8739,38.1,12.5,88.5,87.8,77.5,11.3,33.4,27.3,10217,4672,16745,1856,,15.7,13.5,72.3,61.7,1,2.4,65.5,10.94,0.6,15.2,25.8,6.3,10.6,3,2,2,3,3,2,87.11,2.2,17,37.2
sejong city,1,24267,72.7,76.4,0,8.53,9.28,7825,5368,30.1,132257,14125,6.2,12.4,96.8,94.8,100,10.6,17.7,28.5,43725,17585,73177,11867,10710,73.7,51.4,75.5,53.1,15.7,12.9,71.7,14.26,1.8,6.3,47.4,5.2,5.8,5,5,1,5,2,2,69.16,1.5,4.2,7.6
seocheon-gun,0,9100,13.1,61.3,12.7,-1.96,33.59,345,406,33.3,24917,6908,43.1,15.8,83.8,56.3,95.1,8.5,45,22.3,10405,4015,15392,972,679,18.2,13.7,79.5,58.7,2.9,3,57.4,6.86,1,15,22.9,5.2,6.3,3,5,3,4,4,4,59.51,2.1,22,24.6
seosan city,0,13067,39.5,70.1,0,0.3,17.21,2134,2062,29.9,72837,14586,16.6,14.8,96.9,78.3,98.4,18.3,81.3,56.9,28038,15521,51816,8257,9935,61.8,39.5,82.4,55.4,3.6,3.3,64.2,15.76,1.3,5.7,41.7,6.5,7.1,4,4,3,4,4,3,53.47,1.6,6.1,16
taean-gun,0,12650,19.7,65.9,10.1,-0.72,28.54,500,603,34.2,28249,10918,27.9,15.1,92.6,58.4,85,48.9,113.1,38.3,13998,3606,19185,1581,3170,21.9,17.8,80.4,66.9,2.7,2.4,51.9,8.04,0.8,15.1,18.4,7.1,9.6,3,4,5,5,5,2,69.76,1.7,6.9,25.5
yeongdong-gun,0,8800,16.7,69.2,2.3,-1.44,29.06,384,663,35.2,21104,8475,37.3,12.4,79.9,70,87.3,14.7,47.7,36.6,7164,2332,10368,872,,14.7,11.5,70.4,51.7,1.4,-1.9,63.9,13.86,0.9,11.8,21.9,7.1,12.8,2,2,3,3,2,4,79.19,2.1,14.8,57.5
yesan-gun,0,8400,13.8,57.6,0.1,-0.97,28.86,763,737,31,35439,10264,31.8,14.5,74.2,60.1,91.7,8.7,47.3,32.7,14749,6835,26681,5097,1608,25.7,20.7,72.4,58.9,1.6,2.2,67.5,8.63,0.9,9,18.1,5.8,8.3,4,2,4,2,3,2,69.75,1.7,5.4,31.6
asan city,1,11033,38.8,59.9,6.5,0.01,12.8,3659,3855,33.4,126319,16406,10.6,12.5,97.6,86,98.5,18.3,18.9,37.03,54132,36137,117161,26892,18510,115.1,67.6,77.6,50.4,2.9,3.9,75.1,17.98,1.3,12,63.9,5.21,6.7,3,2,4,3,3,3,54.09,1.8,10.7,16.1
boeun-gun,0,7700,13.8,64.6,15.1,-1.62,33.3,269,274,35.5,15702,9482,46.6,15.6,53.5,77.8,91.9,10.8,50.2,28.38,6377,2433,9710,900,,10.7,8.8,76.5,61.9,0.2,4.2,59.6,5.95,0.6,5,18.1,6.13,9.8,4,4,3,3,4,2,61.25,2.2,22.9,15.4
boryeong city,1,10933,14.2,65.9,4.9,-1.03,24.9,1376,1537,32.4,44089,12470,29.8,12.7,89.3,76.6,95.8,13,69.3,28.99,20995,7003,32744,4746,3568,32.7,23.2,74.6,54.7,1.8,5.7,57.7,11.09,1.2,17.2,27.6,5.76,7.3,4,5,2,5,5,4,63.12,1.8,9.9,19
buyeo-gun,0,10250,14.2,61.3,0.3,-2.22,33.2,534,541,33.9,29661,13626,44.7,12.2,87,66,90.6,12.7,31,25.89,11443,3457,16403,1503,,20.5,18.4,73.9,61.9,1.5,0.6,61,7.66,0.8,27.2,23.9,5.59,7.3,3,4,3,2,4,4,90.02,1.9,17.5,30.6
cheonan city,1,15283,44,66.6,18.2,0.66,10.4,8559,8096,35.3,244364,21714,10.9,10.1,97,96.7,98.9,8.5,17.5,25.56,111393,59613,228612,57606,28415,226,151.3,77.7,54.3,3.3,3.4,68.1,19.08,1.9,8.3,47.1,4.79,5.2,2,4,4,3,3,2,63,3.3,14.3,15.9
cheongju city,1,10900,32.6,60.7,13.8,0.45,12.7,11979,11611,0,302927,,17.6,9.4,97.2,94,97.8,10,23.5,58.54,5965,1754,8742,1023,,254.6,185.5,73.2,51.7,2.8,3.7,67.6,16.25,1.7,11.3,54,4.8,6.5,3,3,4,2,2,2,79.77,2.7,12.6,17.5
cheongyang-gun,0,7100,15.8,67.4,0,-2.44,34.1,273,387,34.8,14062,10629,41.2,11.5,45.7,54.6,90.2,15.7,39.1,22.3,38017,14631,67017,14369,3315,11.7,9.8,84.8,70.8,4.2,2.7,56.8,9.98,0.5,11.6,16.3,5.86,8.9,4,4,1,4,4,4,69.87,2,7.1,22.6
chungju city,1,16858,18.2,63.1,9.4,-0.51,19,3115,2989,36.1,93399,25960,24,15.6,94.4,93.5,91.3,11.6,56.2,53.41,136573,67751,259631,55307,24848,64.3,52,69.7,56.4,2.7,5.2,57.5,17.17,1.4,8.6,39.6,7.48,10.3,,,,,,,75.15,2.4,12.5,30
daejeon city,1,25100,46,67.7,11,-0.88,13.6,20717,21431,36.3,496875,13307,19.2,5.4,99.9,98,100,6.3,9.9,76.1,243269,107426,443300,92605,66129,69.9,51.7,73.1,54,1.8,2.3,63.4,15.81,1.5,2.2,65.7,4.5,4.6,4,4,4,4,4,3,80.49,3.6,16.4,14.4
daejeon deodeok-gu,1,18633,19.6,35,15.9,-0.51,14.8,1825,2096,32.8,63102,1298,27,7.4,99.9,99.6,100,5.2,12.5,85.31,39145,17080,71517,15292,17047,69.9,51.7,73.1,54,0.1,1.6,69.3,15.58,1.3,4.8,72.3,4.14,4.1,5,4,3,4,4,2,72.04,2.3,14,17
daejeon dong-gu,1,20833,11.9,30.4,6.5,-1.98,18,2645,3137,40.6,79262,3131,32.8,5.6,99.9,99.2,100,6.2,9.5,80.37,35072,10685,55742,9985,31,69.9,51.7,73.1,54,1,2.2,58.2,20.77,1,4.2,63.2,4.87,5.8,5,4,3,4,5,4,87.71,2.4,15.9,19.7
daejeon jung-gu,1,18933,15.3,32.3,8,-2.07,18.3,2780,2957,32.9,82051,1355,34.9,5,99.9,99.4,100,8.3,6.6,97.76,40826,13040,65116,11250,8562,69.9,51.7,73.1,54,0.4,0.6,54.7,10.39,1.4,5.4,76.9,4.73,4.7,5,5,4,4,4,4,74.29,5.7,24.7,18.3
daejeon seo-gu,1,26900,20.5,31.2,17.3,-0.81,12,7033,7135,35.3,153397,2871,12.9,4.2,99.9,99.3,100,7.7,8,69.23,71955,31128,128568,25485,32485,69.9,51.7,73.1,54,2.1,1.7,60.1,15.8,1.8,3,58.8,5.44,4.8,3,2,3,3,3,2,69.4,4.5,15.9,13.4
daejeon yuseong-gu,1,40200,29.8,36.6,4.9,0.34,9,6434,6106,38.4,119063,4652,3.2,6.2,99.9,93.9,100,5.1,11.6,63.56,56271,35493,122357,30593,8004,69.9,51.7,73.1,54,4.6,4.3,71,16.13,1.6,3.1,66,3.73,3.9,3,4,2,3,2,1,85.56,2.4,13.1,8.5
dangjin city,0,17167,28.9,65.6,9.7,-0.77,18,1574,1766,34.1,64504,22117,16.4,11.7,86.9,67.3,96.6,10.7,56.8,11.3,30539,16603,64526,17384,8335,62,36,83.2,55.6,3.5,4.2,71.6,15.01,1.3,9.3,31.4,5.96,6.9,4,3,2,4,4,4,39.77,1.6,8.1,16.2
danyang-gun,0,7850,20.7,72,6.1,-2.11,29.3,178,250,36.4,13898,12773,40.7,15.2,77.2,77.6,95.3,15.6,78,43.5,6215,2075,8904,614,,9.1,7.1,75.3,56.7,2.8,4.7,59.3,6.23,0.5,14,24.3,8.68,14.7,4,2,4,5,3,2,85.37,1.4,6.7,48
eumseong-gun,0,10700,28.7,63.6,5.2,-2.48,20.2,1004,929,38.5,42939,10256,18.8,17.3,89.9,63.5,97.9,9.2,58.8,28.76,23769,22273,63227,17185,10177,38.1,22.8,78.1,56.7,4.5,4.9,76.2,16.24,0.9,17.8,41.6,5.59,6.4,2,3,5,2,3,3,38.43,1.8,20.2,29
geumsan-gun,0,10500,21.5,67.3,4.2,-1.9,30,386,483,37.8,23266,14769,39,13.3,80.4,80.1,90.9,14.2,32.9,37.56,13441,6319,23065,3305,73,16.7,14.7,70.3,60.7,2.1,4.3,68.1,18.76,0.7,7.8,32,7.16,8.9,2,5,3,4,3,1,81.67,2.2,11.8,56.4
goesan-gun,0,9300,9.9,66.7,6.4,0.5,32.6,388,1068,41.5,17021,8864,35.6,8.4,71.6,49.6,89,21.1,67.2,16.36,7051,3100,12368,2217,831,13.5,9.8,75.1,57.7,3.6,3.5,65.4,15.09,0.3,10.8,19.2,7.55,10.7,4,3,3,4,5,3,68.11,1.7,10.4,35.5
gongju city,0,9433,18.8,69.2,7.8,-1.93,25,1070,1210,36.6,45266,19157,31.3,13,88,76.5,96,9.8,24.9,63.02,20701,8352,34481,5428,24647,33.7,27.5,73.6,58.2,2.6,5.9,62,15.62,1.2,4.3,28.4,6.94,9.2,4,4,3,5,5,5,83.57,2.4,37.1,31.6
gyeryong city,0,16500,19.4,73.5,0,-0.36,11.2,1013,1242,21.3,17152,1444,5.8,17.3,96.9,97.3,100,6.2,4.9,96.93,4605,1914,7370,851,,8.6,8.5,65.3,52.2,3.6,-1.3,58.9,13.28,1.2,6,50.9,4.45,2.9,2,1,1,3,1,1,90.2,1.6,6.5,25.7
hongseong-gun,0,11200,19.8,62,0,-0.4,23,912,941,34.3,43472,8925,26.5,13.9,92,72.9,95.1,12.2,68.6,35.47,18364,7055,28572,3153,764,32.6,24.5,75.7,56,3.8,4.9,60.2,17.27,1.4,16.2,34.8,5.08,6.6,3,2,4,2,4,2,65.44,2.1,16.3,16
jecheon city,0,8933,17.6,66.7,3.9,-1.26,20.8,1296,1516,36.4,57840,22418,25.4,11.6,94.6,93.4,98.7,16.6,60.9,18.21,25488,8635,39355,5232,983,40.7,29.8,72.8,50.9,1.1,3.1,55.1,16.72,1.3,8.6,47.9,9.18,13.8,4,5,2,4,4,4,79.23,2.3,17.8,29.3
jeungpyeong-gun,1,6800,19.4,64.8,2.7,-1.42,16.5,376,346,35.6,15303,9002,23.1,13,99.9,97.1,100,13.7,42.1,49.06,6144,2213,9450,1093,1118,11.6,8.3,77.2,54.7,4.3,6.8,64.6,10.71,1.4,27.4,45.9,4.93,5.6,3,1,5,1,1,1,64.85,1.4,6.6,32.6
jincheon-gun,1,7000,29.4,65.8,0,2.53,16.1,924,785,34.1,38332,3289,14.4,17.1,92.3,79.4,88.2,10.7,42.8,20.91,16180,13697,41732,11855,9973,32.1,20.5,82.2,59.8,5.8,7.4,78,10.84,1.2,19,45.7,6.24,7.8,2,4,5,2,2,1,51.58,1.7,10.9,21.5
nonsan city,0,8600,12.6,60.6,3.7,-1.98,25.4,1375,1355,35,48936,13098,36.3,11.9,87,74.5,89.8,8.6,11.9,60.18,23648,8910,37973,5415,597,36,28.7,72.6,56.5,4.8,4.3,60.1,11.46,1,5.1,38,5.82,7.3,5,4,2,5,4,5,79.47,2.7,24.1,36.9
okcheon-gun,0,10000,16.8,67.5,0,-1.09,28.6,358,363,29.6,21677,9830,38.9,11.7,89.2,90.5,83.9,11.6,33.4,27.29,10505,4851,17315,1959,,15.2,12.4,70.3,56.9,2,3.2,64.7,10.24,0.6,15.4,26.6,6.3,10.7,2,2,3,3,2,3,87.11,1.9,15.7,9.9
sejong city,1,29033,64.8,70.8,0.8,4.23,9.4,7787,6292,31.3,136887,19312,6.5,10.5,97.9,95.7,100,10.9,17.7,28.6,47237,19134,79429,13058,7730,73.8,51.6,75.8,53.2,14.9,12.1,71.1,13.9,1.9,6.3,49,5.2,5.5,5,1,1,5,1,2,68.27,1.9,5.6,
seocheon-gun,0,9100,13.9,58.9,13.2,-1.96,35.1,362,418,34.4,25647,8302,43.1,17.5,86.9,57.4,95.1,10.1,44.6,22.77,10729,4043,15835,1063,656,17.8,13,78.7,56.2,2.9,9.6,52.7,6.81,0.9,15.3,31.2,5.13,6.3,5,5,2,4,4,2,58.68,2,21.9,25.1
seosan city,0,13033,30.5,66.7,0,0.29,17.9,1897,1954,31.6,73069,21705,17.7,12.9,98.2,79,99.3,17.8,80.8,58.16,28328,15465,52341,8548,10546,62.5,38,82.6,53.2,2.4,3.7,65.3,15.41,1.3,6,43.8,6.31,7,4,4,3,4,5,2,53.47,1.7,5.9,18.2
taean-gun,0,12500,18.6,64.3,11.3,-0.81,29.7,479,554,36.2,28832,11564,28.5,14.8,96.5,59.5,83.7,48.3,112.6,39.4,14375,3479,19534,1680,3220,21.8,17.5,80.1,65.8,3.2,7.7,54,7.63,0.8,15.4,20.4,6.78,9.3,4,2,4,5,4,3,69.76,1.7,7,24.1
yeongdong-gun,0,8900,16.1,68,1.9,-2.71,30.2,433,612,36.6,21218,10631,38.5,13.1,80.4,70.3,87.7,14.7,47.9,37.09,7564,2469,10963,930,,14.4,11.7,70.2,54.7,1.9,2.4,61.8,13.82,0.9,11.9,17.5,7.14,11.1,2,1,3,3,4,4,79.19,2.2,15.1,59
yesan-gun,0,8500,14.9,57.4,0.1,-1.69,30.1,586,660,32.9,36369,10333,32.1,15.1,79.2,61.5,92.1,9.1,47.3,32.49,14950,7189,27648,5509,1541,25.4,20.3,74.1,58.7,2.5,5.9,65,8.31,1,9,20.1,5.81,8.3,3,4,4,2,4,3,69.67,1.8,5.5,33.3
